"","sub","onset","offset","tier","age","duration","seq_cat","syllable_total","inter_speech_interval","caregiver_response","elicited_response"
"61",4,834.680083,836.965917,"Parent","10 months",2.28583400000002,NA,NA,0.592623000000003,0,NA
"62",4,838.356768,838.840543,"Parent","10 months",0.483775000000037,NA,NA,1.390851,0,NA
"63",4,839.927,840.148,"infant vocs","10 months",0.221000000000004,"individual syllable",1,1.086457,NA,1
"64",4,840.436998,842.226963,"Parent","10 months",1.78996499999994,NA,NA,0.288997999999992,1,NA
"65",4,841.724,842.017,"infant vocs","10 months",0.293000000000006,"individual syllable",1,-0.502962999999909,NA,0
"66",4,843.48,843.72,"infant vocs","10 months",0.240000000000009,"individual syllable",1,1.46299999999997,NA,1
"67",4,843.787135,845.153798,"Parent","10 months",1.36666300000002,NA,NA,0.0671350000000075,1,NA
"68",4,846.009,846.178,"infant vocs","10 months",0.168999999999983,"individual syllable",1,0.855201999999963,NA,1
"69",4,846.580932,848.141105,"Parent","10 months",1.56017300000008,NA,NA,0.402931999999964,1,NA
"70",4,851.696846,852.712772,"Parent","10 months",1.01592599999992,NA,NA,3.55574100000001,0,NA
"71",4,853.922208,855.506569,"Parent","10 months",1.58436100000006,NA,NA,1.20943599999998,0,NA
"72",4,861.940768,862.968789,"Parent","10 months",1.02802099999997,NA,NA,6.43419900000004,0,NA
"73",4,863.331619,864.758754,"Parent","10 months",1.42713499999991,NA,NA,0.362830000000031,0,NA
"74",4,865.826,865.988,"infant vocs","10 months",0.162000000000035,"individual syllable",1,1.06724600000007,NA,1
"75",4,866.984116,868.13308,"Parent","10 months",1.14896399999998,NA,NA,0.996115999999915,1,NA
"76",4,872.017,873.682,"infant vocs","10 months",1.66499999999996,"sequence",4,3.8839200000001,NA,1
"77",4,874.07141,874.833355,"Parent","10 months",0.761944999999969,NA,NA,0.389409999999998,1,NA
"78",4,876.066979,878.618889,"Parent","10 months",2.55191000000002,NA,NA,1.23362399999996,0,NA
"79",4,880.23,880.321,"infant vocs","10 months",0.0910000000000082,"individual syllable",1,1.61111100000005,NA,1
"80",4,880.795874,883.601765,"Parent","10 months",2.80589099999997,NA,NA,0.474874,1,NA
"81",4,885.234503,888.645113,"Parent","10 months",3.41061000000002,NA,NA,1.63273800000002,0,NA
"82",4,888.203,888.495,"infant vocs","10 months",0.29200000000003,"individual syllable",1,-0.442113000000063,NA,0
"83",4,891.05189,892.225043,"Parent","10 months",1.17315300000007,NA,NA,2.55688999999995,0,NA
"84",4,893.063,893.407,"infant vocs","10 months",0.344000000000051,"individual syllable",1,0.83795699999996,NA,1
"85",4,893.96663,894.619726,"Parent","10 months",0.653096000000005,NA,NA,0.55962999999997,1,NA
"86",4,895.224444,896.869277,"Parent","10 months",1.64483300000006,NA,NA,0.604717999999934,0,NA
"87",4,898.260128,903.085777,"Parent","10 months",4.825649,NA,NA,1.390851,0,NA
"88",4,908.247,908.455,"infant vocs","10 months",0.208000000000084,"individual syllable",1,5.16122299999995,NA,1
"89",4,909.024107,910.052128,"Parent","10 months",1.02802100000008,NA,NA,0.569106999999917,1,NA
"90",4,910.995488,916.268628,"Parent","10 months",5.27314000000001,NA,NA,0.943359999999984,0,NA
"91",4,919.948,920.376,"infant vocs","10 months",0.427999999999997,"sequence",2,3.67937199999994,NA,1
"92",4,920.731447,921.263598,"Parent","10 months",0.532150999999999,NA,NA,0.355447000000026,1,NA
"93",4,928.291,928.486,"infant vocs","10 months",0.194999999999936,"individual syllable",1,7.02740200000005,NA,1
"94",4,929.016082,932.789522,"Parent","10 months",3.77344000000005,NA,NA,0.530081999999993,1,NA
"95",4,933.624033,935.026979,"Parent","10 months",1.40294599999993,NA,NA,0.83451100000002,0,NA
"96",4,936.949982,937.578889,"Parent","10 months",0.628907000000027,NA,NA,1.92300299999999,0,NA
"97",4,938.933,939.439,"infant vocs","10 months",0.505999999999972,"sequence",2,1.35411099999999,NA,0
"98",4,941.173,941.939,"infant vocs","10 months",0.765999999999963,"individual syllable",1,1.73400000000004,NA,0
"99",4,952.536,953.545,"infant vocs","10 months",1.00900000000001,"sequence",3,10.597,NA,1
"100",4,955.164086,957.861128,"Parent","10 months",2.69704200000001,NA,NA,1.61908600000004,1,NA
"101",4,961.308021,962.323947,"Parent","10 months",1.01592599999992,NA,NA,3.44689300000005,0,NA
"102",4,964.71863,965.613612,"Parent","10 months",0.894982000000027,NA,NA,2.39468299999999,0,NA
"103",4,966.714199,974.103852,"Parent","10 months",7.38965299999995,NA,NA,1.10058700000002,0,NA
"104",4,977.671688,978.20384,"Parent","10 months",0.532151999999996,NA,NA,3.56783600000006,0,NA
"105",4,980.658995,981.904714,"Parent","10 months",1.24571900000001,NA,NA,2.45515499999999,0,NA
"106",4,991.504,991.777,"infant vocs","10 months",0.273000000000025,"individual syllable",1,9.59928600000001,NA,0
"107",4,995.583434,996.514699,"Parent","10 months",0.931264999999939,NA,NA,3.80643399999997,0,NA
"108",4,1005.573374,1006.613489,"Parent","10 months",1.04011500000001,NA,NA,9.05867499999999,0,NA
"109",4,1009.733834,1010.459495,"Parent","10 months",0.725660999999945,NA,NA,3.12034500000004,0,NA
"110",4,1010.776,1011.159,"infant vocs","10 months",0.383000000000038,"sequence",2,0.316505000000006,NA,0
"111",4,1013.135,1013.239,"infant vocs","10 months",0.104000000000042,"individual syllable",1,1.976,NA,1
"112",4,1014.015237,1015.127918,"Parent","10 months",1.11268100000007,NA,NA,0.776236999999924,1,NA
"113",4,1016.567146,1017.450035,"Parent","10 months",0.882888999999977,NA,NA,1.43922799999996,0,NA
"114",4,1018.417583,1022.420816,"Parent","10 months",4.00323299999991,NA,NA,0.967548000000079,0,NA
"115",4,1027.754428,1029.217846,"Parent","10 months",1.46341800000005,NA,NA,5.33361200000002,0,NA
"116",4,1033.269456,1039.473862,"Parent","10 months",6.20440600000006,NA,NA,4.05160999999998,0,NA
"117",4,1037.309,1037.53,"infant vocs","10 months",0.221000000000004,"individual syllable",1,-2.16486200000008,NA,0
"118",4,1041.795979,1043.150547,"Parent","10 months",1.35456799999997,NA,NA,4.26597900000002,0,NA
"119",4,1043.757,1043.926,"infant vocs","10 months",0.168999999999869,"individual syllable",1,0.606453000000101,NA,1
"120",4,1044.626059,1049.536369,"Parent","10 months",4.91030999999998,NA,NA,0.70005900000001,1,NA
"121",4,1051.892,1052.067,"infant vocs","10 months",0.174999999999955,"individual syllable",1,2.35563100000013,NA,1
"122",4,1052.572053,1055.958473,"Parent","10 months",3.38641999999982,NA,NA,0.505053000000089,1,NA
"123",4,1057.155815,1057.821004,"Parent","10 months",0.665188999999828,NA,NA,1.19734200000016,0,NA
"124",4,1063.108,1064.543,"infant vocs","10 months",1.43499999999995,"sequence",2,5.28699600000004,NA,0
"125",4,1065.636,1068.1,"infant vocs","10 months",2.46399999999994,"sequence",3,1.09300000000007,NA,1
"126",4,1069.359023,1070.701497,"Parent","10 months",1.34247400000004,NA,NA,1.25902300000007,1,NA
"127",4,1074.034,1074.222,"infant vocs","10 months",0.187999999999874,"individual syllable",1,3.33250300000009,NA,0
"128",4,1078.017,1078.225,"infant vocs","10 months",0.207999999999856,"individual syllable",1,3.79500000000007,NA,0
"129",4,1100.647129,1101.409074,"Parent","10 months",0.761944999999969,NA,NA,22.422129,0,NA
"130",4,1109.004,1109.28,"infant vocs","10 months",0.276000000000067,"individual syllable",1,7.59492599999999,NA,0
"131",4,1112.221431,1112.681016,"Parent","10 months",0.459585000000061,NA,NA,2.94143099999997,0,NA
"132",4,1114.882,1115.109,"infant vocs","10 months",0.226999999999862,"individual syllable",1,2.20098400000006,NA,1
"133",4,1115.414341,1116.962419,"Parent","10 months",1.54807800000003,NA,NA,0.305340999999999,1,NA
"134",4,1118.220233,1119.260348,"Parent","10 months",1.04011500000001,NA,NA,1.25781400000005,0,NA
"135",4,1120.917275,1123.880393,"Parent","10 months",2.9631179999999,NA,NA,1.656927,0,NA
"136",4,1126.20251,1132.382727,"Parent","10 months",6.18021699999986,NA,NA,2.32211700000016,0,NA
"137",4,1135.261184,1135.938468,"Parent","10 months",0.6772840000001,NA,NA,2.87845700000003,0,NA
"138",4,1137.051149,1143.787707,"Parent","10 months",6.73655800000006,NA,NA,1.11268099999984,0,NA
"139",4,1147.911884,1155.749028,"Parent","10 months",7.83714399999985,NA,NA,4.12417700000015,0,NA
"140",4,1159.050788,1162.400926,"Parent","10 months",3.35013800000002,NA,NA,3.30176000000006,0,NA
"141",4,1163.161,1166.349,"infant vocs","10 months",3.18799999999987,"sequence",2,0.760074000000031,NA,1
"142",4,1165.872007,1167.287047,"Parent","10 months",1.41504000000009,NA,NA,-0.476992999999993,1,NA
"143",4,1178.442,1179.634,"infant vocs","10 months",1.19200000000001,"sequence",3,11.154953,NA,1
"144",4,1179.877274,1180.723879,"Parent","10 months",0.846604999999954,NA,NA,0.243273999999928,1,NA
"145",4,1181.159,1181.328,"infant vocs","10 months",0.168999999999869,"individual syllable",1,0.435121000000208,NA,1
"146",4,1182.30824,1183.154845,"Parent","10 months",0.846604999999954,NA,NA,0.980240000000094,1,NA
"147",4,1184.116,1190.164,"infant vocs","10 months",6.048,"sequence",3,0.961154999999962,NA,0
"148",4,1195.23711,1195.999055,"Parent","10 months",0.761944999999969,NA,NA,5.07311000000004,0,NA
"149",4,1205.057729,1205.456843,"Parent","10 months",0.399113999999827,NA,NA,9.05867400000011,0,NA
"150",4,1210.899305,1212.338533,"Parent","10 months",1.43922800000018,NA,NA,5.44246199999998,0,NA
"151",4,1215.749143,1216.390144,"Parent","10 months",0.64100099999996,NA,NA,3.41060999999991,0,NA
"152",4,1220.986,1225.146459,"Parent","10 months",4.16045899999995,NA,NA,4.59585600000014,0,NA
"153",4,1241.298,1241.48,"infant vocs","10 months",0.182000000000016,"individual syllable",1,16.151541,NA,0
"154",4,1249.09,1249.213,"infant vocs","10 months",0.123000000000047,"individual syllable",1,7.6099999999999,NA,0
"155",4,1250.43,1250.586,"infant vocs","10 months",0.155999999999949,"individual syllable",1,1.2170000000001,NA,0
"156",4,1255.527489,1257.716568,"Parent","10 months",2.18907899999999,NA,NA,4.94148900000005,0,NA
"157",4,1263.570238,1265.747222,"Parent","10 months",2.17698399999995,NA,NA,5.85366999999997,0,NA
"158",4,1269.689983,1270.222135,"Parent","10 months",0.532151999999996,NA,NA,3.94276100000002,0,NA
"159",4,1276.987,1278.026,"infant vocs","10 months",1.03899999999999,"individual syllable",1,6.7648650000001,NA,0
"160",4,1279.161,1282.06,"infant vocs","10 months",2.89899999999989,"sequence",3,1.13499999999999,NA,0
"161",4,1288.617655,1291.35098,"Parent","10 months",2.73332499999992,NA,NA,6.55765500000007,0,NA
"162",4,1295.039759,1295.644477,"Parent","10 months",0.604718000000048,NA,NA,3.68877900000007,0,NA
"163",4,1303.382,1303.681,"infant vocs","10 months",0.298999999999978,"sequence",2,7.73752300000001,NA,1
"164",4,1303.880736,1305.561852,"Parent","10 months",1.68111599999997,NA,NA,0.19973600000003,1,NA
"165",4,1312.368,1312.615,"infant vocs","10 months",0.247000000000071,"individual syllable",1,6.80614799999989,NA,1
"166",4,1313.592506,1314.124658,"Parent","10 months",0.532151999999996,NA,NA,0.977505999999948,1,NA
"167",4,1334.516,1334.893,"infant vocs","10 months",0.376999999999953,"sequence",2,20.3913420000001,NA,1
"168",4,1335.785654,1338.240809,"Parent","10 months",2.45515499999988,NA,NA,0.892653999999993,1,NA
"169",4,1341.082984,1342.195665,"Parent","10 months",1.11268100000007,NA,NA,2.842175,0,NA
"170",4,1347.09388,1349.246676,"Parent","10 months",2.15279600000008,NA,NA,4.89821499999994,0,NA
"171",4,1353.216,1353.521,"infant vocs","10 months",0.305000000000064,"individual syllable",1,3.96932399999992,NA,0
"172",4,1376.899,1377.38,"infant vocs","10 months",0.481000000000222,"sequence",2,23.3779999999999,NA,1
"173",4,1377.886118,1380.462216,"Parent","10 months",2.576098,NA,NA,0.506117999999788,1,NA
"174",4,1382.179615,1383.957486,"Parent","10 months",1.777871,NA,NA,1.71739900000011,0,NA
"175",4,1399.742,1401.437,"infant vocs","10 months",1.69499999999994,"individual syllable",1,15.7845139999999,NA,1
"176",4,1401.578967,1401.929703,"Parent","10 months",0.350736000000097,NA,NA,0.141967000000022,1,NA
"177",4,1402.92,1404.764,"infant vocs","10 months",1.84399999999982,"individual syllable",1,0.990297000000055,NA,1
"178",4,1405.146803,1405.763615,"Parent","10 months",0.616811999999982,NA,NA,0.382803000000195,1,NA
"179",4,1408.302,1408.75,"infant vocs","10 months",0.448000000000093,"individual syllable",1,2.53838499999983,NA,1
"180",4,1409.089564,1409.887791,"Parent","10 months",0.798226999999997,NA,NA,0.339564000000109,1,NA
"181",4,1413.286306,1413.891024,"Parent","10 months",0.604718000000048,NA,NA,3.39851499999986,0,NA
"182",4,1417.083935,1422.139377,"Parent","10 months",5.05544199999986,NA,NA,3.19291100000009,0,NA
"183",4,1422.792472,1424.364739,"Parent","10 months",1.57226700000001,NA,NA,0.653095000000121,0,NA
"184",4,1425.416948,1428.355877,"Parent","10 months",2.93892899999992,NA,NA,1.05220899999995,0,NA
"185",4,1430.661,1431.044,"infant vocs","10 months",0.383000000000038,"sequence",2,2.30512300000009,NA,1
"186",4,1431.476222,1431.839053,"Parent","10 months",0.362830999999915,NA,NA,0.432221999999911,1,NA
"187",4,1432.611,1432.826,"infant vocs","10 months",0.214999999999918,"individual syllable",1,0.771947000000182,NA,0
"188",4,1436.451,1436.88,"infant vocs","10 months",0.429000000000087,"sequence",2,3.625,NA,1
"189",4,1437.54759,1441.200086,"Parent","10 months",3.65249600000016,NA,NA,0.667589999999791,1,NA
"190",4,1442.469994,1443.751996,"Parent","10 months",1.28200199999992,NA,NA,1.26990799999999,0,NA
"191",4,1443.768,1445.431,"infant vocs","10 months",1.66300000000001,"individual syllable",1,0.0160040000000663,NA,1
"192",4,1445.868509,1446.884435,"Parent","10 months",1.01592600000004,NA,NA,0.437508999999864,1,NA
"193",4,1447.805,1448.064,"infant vocs","10 months",0.259000000000015,"individual syllable",1,0.920565000000124,NA,0
"194",4,1449.434,1450.921,"infant vocs","10 months",1.48700000000008,"sequence",2,1.36999999999989,NA,1
"195",4,1451.758462,1452.810671,"Parent","10 months",1.05220899999995,NA,NA,0.83746199999996,1,NA
"196",4,1452.988,1454.455,"infant vocs","10 months",1.46699999999987,"sequence",3,0.1773290000001,NA,1
"197",4,1454.794146,1455.265826,"Parent","10 months",0.471680000000106,NA,NA,0.339146000000028,1,NA
"198",4,1455.894732,1457.708886,"Parent","10 months",1.81415399999992,NA,NA,0.628905999999915,0,NA
"199",4,1465.860484,1466.682901,"Parent","10 months",0.822416999999859,NA,NA,8.15159800000015,0,NA
