,bird_ID,motif_ID,motif_onset,motif_offset,motif_duration,condition,Brother_ID,syllable_count,syll_per_sec,age
218,Mg,motif8,0.0,0.83445,0.83445,Contingent,1_G,12,14.380729822038468,ninety
219,Mg,motif9,0.0,0.822332,0.822332,Contingent,1_G,12,14.59264627911841,ninety
220,O-LGN,motif1,0.045536,0.753569,0.708033,Contingent,1_,12,16.948362576320594,ninety
221,O-LGN,motif10,0.002332,0.632745,0.630413,Contingent,1_,9,14.276355341656977,ninety
222,O-LGN,motif11,0.013215,0.755563,0.742348,Contingent,1_,12,16.164925344986447,ninety
223,O-LGN,motif12,0.003109,0.699595,0.6964859999999999,Contingent,1_,11,15.793569432838565,ninety
224,O-LGN,motif2,0.004886,0.69382,0.688934,Contingent,1_,11,15.966696374398708,ninety
225,O-LGN,motif3,0.0,0.687306,0.687306,Contingent,1_,11,16.004516183475776,ninety
226,O-LGN,motif4,0.00154,0.733726,0.732186,Contingent,1_,11,15.023504956390862,ninety
227,O-LGN,motif5,0.0,0.69754,0.69754,Contingent,1_,11,15.769704963156233,ninety
228,O-LGN,motif6,0.013088,0.712168,0.69908,Contingent,1_,11,15.734965955255477,ninety
229,O-LGN,motif9,0.015398,0.705239,0.6898409999999999,Contingent,1_,12,17.39531283295716,ninety
230,O-Pi,motif13,0.022763,0.768702,0.745939,Yoked,2_,7,9.384145352367955,ninety
231,O-Pi,motif17,0.014008,1.407055,1.393047,Yoked,2_,15,10.76776304029943,ninety
232,O-Pi,motif18,0.035635,1.337015,1.30138,Yoked,2_,13,9.98939587207426,ninety
233,O-Pi,motif21,0.035635,1.619721,1.5840859999999999,Yoked,2_,15,9.469182860021489,ninety
234,O-Pi,motif22,0.09981,1.252001,1.152191,Yoked,2_,12,10.414939884099077,ninety
235,O-Pi,motif23,0.009647,1.004672,0.995025,Yoked,2_,10,10.049998743750157,ninety
236,O-Pi,motif3,0.061666,0.398525,0.336859,Yoked,2_,4,11.874404424403087,ninety
237,O-Pi,motif4,0.049905,0.795709,0.745804,Yoked,2_,7,9.385844001909348,ninety
238,O-Pi,motif7,0.065371,0.856051,0.79068,Yoked,2_,9,11.38260737592958,ninety
239,O-Pi,motif9,0.0,0.75955,0.75955,Yoked,2_,7,9.21598314791653,ninety
240,R,motif1,0.010916,1.024984,1.014068,Contingent,1_E,13,12.81965311990912,ninety
241,R,motif10,0.011472,1.270099,1.2586270000000002,Contingent,1_E,14,11.123231902700322,ninety
242,R,motif11,0.001318,1.273465,1.2721470000000001,Contingent,1_E,14,11.00501750190819,ninety
243,R,motif12,0.013183,1.158774,1.145591,Contingent,1_E,13,11.347854513521842,ninety
244,R,motif2,0.050987,1.171422,1.120435,Contingent,1_E,13,11.602636476011549,ninety
245,R,motif4,0.016571,1.13828,1.121709,Contingent,1_E,13,11.589458585069746,ninety
246,R,motif6,0.030592,1.171422,1.14083,Contingent,1_E,13,11.39521225774217,ninety
247,R,motif7,0.039549,1.188933,1.149384,Contingent,1_E,13,11.310406269793212,ninety
248,R,motif8,0.019774,1.154328,1.134554,Contingent,1_E,13,11.458247029229106,ninety
249,R,motif9,0.011472,1.23131,1.219838,Contingent,1_E,14,11.476933822360019,ninety
250,R-W,motif1,0.028847,1.132253,1.1034059999999999,Contingent,1_B,10,9.06284722033413,ninety
251,R-W,motif10,0.002988,0.542706,0.539718,Contingent,1_B,6,11.116916612008493,ninety
252,R-W,motif11,0.002988,0.552867,0.549879,Contingent,1_B,6,10.911491437207095,ninety
253,R-W,motif2,0.020322,0.429144,0.408822,Contingent,1_B,4,9.784209264667751,ninety
254,R-W,motif3,0.0,0.612861,0.612861,Contingent,1_B,7,11.421839536208047,ninety
255,R-W,motif4,0.0,0.553821,0.553821,Contingent,1_B,6,10.833825369568867,ninety
256,R-W,motif5,0.00261,0.848315,0.845705,Contingent,1_B,9,10.642008738271619,ninety
